ds,y,sku
2024-09-29,89,SKU-001
2024-09-30,74,SKU-001
2024-10-01,70,SKU-001
2024-10-02,60,SKU-001
2024-10-03,68,SKU-001
2024-10-04,86,SKU-001
2024-10-05,91,SKU-001
2024-10-06,89,SKU-001
2024-10-07,66,SKU-001
2024-10-08,75,SKU-001
2024-10-09,84,SKU-001
2024-10-10,79,SKU-001
2024-10-11,75,SKU-001
2024-10-12,81,SKU-001
2024-10-13,73,SKU-001
2024-10-14,92,SKU-001
2024-10-15,110,SKU-001
2024-10-16,57,SKU-001
2024-10-17,83,SKU-001
2024-10-18,98,SKU-001
2024-10-19,80,SKU-001
2024-10-20,80,SKU-001
2024-10-21,98,SKU-001
2024-10-22,80,SKU-001
2024-10-23,95,SKU-001
2024-10-24,72,SKU-001
2024-10-25,94,SKU-001
2024-10-26,95,SKU-001
2024-10-27,65,SKU-001
2024-10-28,87,SKU-001
2024-10-29,81,SKU-001
2024-10-30,101,SKU-001
2024-10-31,89,SKU-001
2024-11-01,82,SKU-001
2024-11-02,81,SKU-001
2024-11-03,70,SKU-001
2024-11-04,85,SKU-001
2024-11-05,84,SKU-001
2024-11-06,85,SKU-001
2024-11-07,90,SKU-001
2024-11-08,73,SKU-001
2024-11-09,105,SKU-001
2024-11-10,95,SKU-001
2024-11-11,89,SKU-001
2024-11-12,98,SKU-001
2024-11-13,94,SKU-001
2024-11-14,93,SKU-001
2024-11-15,85,SKU-001
2024-11-16,84,SKU-001
2024-11-17,81,SKU-001
2024-11-18,111,SKU-001
2024-11-19,88,SKU-001
2024-11-20,91,SKU-001
2024-11-21,101,SKU-001
2024-11-22,107,SKU-001
2024-11-23,66,SKU-001
2024-11-24,110,SKU-001
2024-11-25,89,SKU-001
2024-11-26,109,SKU-001
2024-11-27,96,SKU-001
2024-11-28,100,SKU-001
2024-11-29,105,SKU-001
2024-11-30,91,SKU-001
2024-12-01,95,SKU-001
2024-12-02,118,SKU-001
2024-12-03,92,SKU-001
2024-12-04,106,SKU-001
2024-12-05,110,SKU-001
2024-12-06,102,SKU-001
2024-12-07,114,SKU-001
2024-12-08,116,SKU-001
2024-12-09,91,SKU-001
2024-12-10,117,SKU-001
2024-12-11,109,SKU-001
2024-12-12,99,SKU-001
2024-12-13,117,SKU-001
2024-12-14,109,SKU-001
2024-12-15,130,SKU-001
2024-12-16,100,SKU-001
2024-12-17,103,SKU-001
2024-12-18,109,SKU-001
2024-12-19,120,SKU-001
2024-12-20,92,SKU-001
2024-12-21,124,SKU-001
2024-12-22,117,SKU-001
2024-12-23,111,SKU-001
2024-12-24,94,SKU-001
2024-12-25,101,SKU-001
2024-12-26,103,SKU-001
2024-12-27,111,SKU-001
2024-12-28,119,SKU-001
2024-12-29,119,SKU-001
2024-12-30,112,SKU-001
2024-12-31,119,SKU-001
2025-01-01,111,SKU-001
2025-01-02,110,SKU-001
2025-01-03,123,SKU-001
2025-01-04,135,SKU-001
2025-01-05,118,SKU-001
2025-01-06,126,SKU-001
2025-01-07,132,SKU-001
2025-01-08,108,SKU-001
2025-01-09,109,SKU-001
2025-01-10,147,SKU-001
2025-01-11,123,SKU-001
2025-01-12,139,SKU-001
2025-01-13,137,SKU-001
2025-01-14,148,SKU-001
2025-01-15,118,SKU-001
2025-01-16,120,SKU-001
2025-01-17,141,SKU-001
2025-01-18,129,SKU-001
2025-01-19,143,SKU-001
2025-01-20,133,SKU-001
2025-01-21,127,SKU-001
2025-01-22,127,SKU-001
2025-01-23,134,SKU-001
2025-01-24,145,SKU-001
2025-01-25,115,SKU-001
2025-01-26,142,SKU-001
2025-01-27,127,SKU-001
2025-01-28,133,SKU-001
2025-01-29,134,SKU-001
2025-01-30,133,SKU-001
2025-01-31,157,SKU-001
2025-02-01,126,SKU-001
2025-02-02,144,SKU-001
2025-02-03,133,SKU-001
2025-02-04,127,SKU-001
2025-02-05,148,SKU-001
2025-02-06,145,SKU-001
2025-02-07,133,SKU-001
2025-02-08,148,SKU-001
2025-02-09,129,SKU-001
2025-02-10,148,SKU-001
2025-02-11,143,SKU-001
2025-02-12,156,SKU-001
2025-02-13,147,SKU-001
2025-02-14,153,SKU-001
2025-02-15,146,SKU-001
2025-02-16,146,SKU-001
2025-02-17,144,SKU-001
2025-02-18,153,SKU-001
2025-02-19,144,SKU-001
2025-02-20,145,SKU-001
2025-02-21,162,SKU-001
2025-02-22,126,SKU-001
2025-02-23,152,SKU-001
2025-02-24,164,SKU-001
2025-02-25,151,SKU-001
2025-02-26,154,SKU-001
2025-02-27,139,SKU-001
2025-02-28,137,SKU-001
2025-03-01,156,SKU-001
2025-03-02,151,SKU-001
2025-03-03,168,SKU-001
2025-03-04,157,SKU-001
2025-03-05,179,SKU-001
2025-03-06,149,SKU-001
2025-03-07,159,SKU-001
2025-03-08,151,SKU-001
2025-03-09,143,SKU-001
2025-03-10,165,SKU-001
2025-03-11,156,SKU-001
2025-03-12,152,SKU-001
2025-03-13,148,SKU-001
2025-03-14,147,SKU-001
2025-03-15,143,SKU-001
2025-03-16,152,SKU-001
2025-03-17,145,SKU-001
2025-03-18,166,SKU-001
2025-03-19,154,SKU-001
2025-03-20,151,SKU-001
2025-03-21,176,SKU-001
2025-03-22,163,SKU-001
2025-03-23,158,SKU-001
2025-03-24,157,SKU-001
2025-03-25,159,SKU-001
2025-03-26,174,SKU-001
2025-03-27,167,SKU-001
2025-03-28,142,SKU-001
2025-03-29,159,SKU-001
2025-03-30,171,SKU-001
2025-03-31,160,SKU-001
2025-04-01,159,SKU-001
2025-04-02,158,SKU-001
2025-04-03,174,SKU-001
2025-04-04,162,SKU-001
2025-04-05,157,SKU-001
2025-04-06,169,SKU-001
2025-04-07,159,SKU-001
2025-04-08,167,SKU-001
2025-04-09,159,SKU-001
2025-04-10,147,SKU-001
2025-04-11,145,SKU-001
2025-04-12,149,SKU-001
2025-04-13,155,SKU-001
2025-04-14,146,SKU-001
2025-04-15,175,SKU-001
2025-04-16,140,SKU-001
2025-04-17,152,SKU-001
2025-04-18,159,SKU-001
2025-04-19,164,SKU-001
2025-04-20,163,SKU-001
2025-04-21,151,SKU-001
2025-04-22,140,SKU-001
2025-04-23,145,SKU-001
2025-04-24,166,SKU-001
2025-04-25,139,SKU-001
2025-04-26,163,SKU-001
2025-04-27,159,SKU-001
2025-04-28,167,SKU-001
2025-04-29,152,SKU-001
2025-04-30,173,SKU-001
2025-05-01,163,SKU-001
2025-05-02,151,SKU-001
2025-05-03,166,SKU-001
2025-05-04,150,SKU-001
2025-05-05,149,SKU-001
2025-05-06,154,SKU-001
2025-05-07,152,SKU-001
2025-05-08,135,SKU-001
2025-05-09,141,SKU-001
2025-05-10,161,SKU-001
2025-05-11,157,SKU-001
2025-05-12,158,SKU-001
2025-05-13,145,SKU-001
2025-05-14,159,SKU-001
2025-05-15,144,SKU-001
2025-05-16,155,SKU-001
2025-05-17,141,SKU-001
2025-05-18,145,SKU-001
2025-05-19,130,SKU-001
2025-05-20,136,SKU-001
2025-05-21,153,SKU-001
2025-05-22,155,SKU-001
2025-05-23,138,SKU-001
2025-05-24,132,SKU-001
2025-05-25,163,SKU-001
2025-05-26,138,SKU-001
2025-05-27,144,SKU-001
2025-05-28,137,SKU-001
2025-05-29,135,SKU-001
2025-05-30,153,SKU-001
2025-05-31,134,SKU-001
2025-06-01,135,SKU-001
2025-06-02,134,SKU-001
2025-06-03,137,SKU-001
2025-06-04,128,SKU-001
2025-06-05,144,SKU-001
2025-06-06,166,SKU-001
2025-06-07,148,SKU-001
2025-06-08,150,SKU-001
2025-06-09,142,SKU-001
2025-06-10,149,SKU-001
2025-06-11,129,SKU-001
2025-06-12,119,SKU-001
2025-06-13,142,SKU-001
2025-06-14,135,SKU-001
2025-06-15,146,SKU-001
2025-06-16,127,SKU-001
2025-06-17,145,SKU-001
2025-06-18,132,SKU-001
2025-06-19,115,SKU-001
2025-06-20,129,SKU-001
2025-06-21,123,SKU-001
2025-06-22,119,SKU-001
2025-06-23,143,SKU-001
2025-06-24,135,SKU-001
2025-06-25,143,SKU-001
2025-06-26,122,SKU-001
2025-06-27,132,SKU-001
2025-06-28,139,SKU-001
2025-06-29,121,SKU-001
2025-06-30,134,SKU-001
2025-07-01,140,SKU-001
2025-07-02,130,SKU-001
2025-07-03,126,SKU-001
2025-07-04,133,SKU-001
2025-07-05,125,SKU-001
2025-07-06,118,SKU-001
2025-07-07,130,SKU-001
2025-07-08,113,SKU-001
2025-07-09,129,SKU-001
2025-07-10,140,SKU-001
2025-07-11,129,SKU-001
2025-07-12,121,SKU-001
2025-07-13,123,SKU-001
2025-07-14,109,SKU-001
2025-07-15,109,SKU-001
2025-07-16,107,SKU-001
2025-07-17,124,SKU-001
2025-07-18,122,SKU-001
2025-07-19,113,SKU-001
2025-07-20,111,SKU-001
2025-07-21,132,SKU-001
2025-07-22,129,SKU-001
2025-07-23,133,SKU-001
2025-07-24,99,SKU-001
2025-07-25,109,SKU-001
2025-07-26,114,SKU-001
2025-07-27,105,SKU-001
2025-07-28,109,SKU-001
2025-07-29,96,SKU-001
2025-07-30,115,SKU-001
2025-07-31,108,SKU-001
2025-08-01,113,SKU-001
2025-08-02,109,SKU-001
2025-08-03,112,SKU-001
2025-08-04,120,SKU-001
2025-08-05,89,SKU-001
2025-08-06,119,SKU-001
2025-08-07,116,SKU-001
2025-08-08,120,SKU-001
2025-08-09,104,SKU-001
2025-08-10,117,SKU-001
2025-08-11,115,SKU-001
2025-08-12,126,SKU-001
2025-08-13,99,SKU-001
2025-08-14,97,SKU-001
2025-08-15,98,SKU-001
2025-08-16,100,SKU-001
2025-08-17,128,SKU-001
2025-08-18,111,SKU-001
2025-08-19,98,SKU-001
2025-08-20,115,SKU-001
2025-08-21,90,SKU-001
2025-08-22,84,SKU-001
2025-08-23,94,SKU-001
2025-08-24,107,SKU-001
2025-08-25,103,SKU-001
2025-08-26,107,SKU-001
2025-08-27,102,SKU-001
2025-08-28,101,SKU-001
2025-08-29,92,SKU-001
2025-08-30,100,SKU-001
2025-08-31,103,SKU-001
2025-09-01,76,SKU-001
2025-09-02,96,SKU-001
2025-09-03,90,SKU-001
2025-09-04,93,SKU-001
2025-09-05,94,SKU-001
2025-09-06,100,SKU-001
2025-09-07,108,SKU-001
2025-09-08,105,SKU-001
2025-09-09,87,SKU-001
2025-09-10,86,SKU-001
2025-09-11,99,SKU-001
2025-09-12,112,SKU-001
2025-09-13,98,SKU-001
2025-09-14,79,SKU-001
2025-09-15,100,SKU-001
2025-09-16,82,SKU-001
2025-09-17,99,SKU-001
2025-09-18,108,SKU-001
2025-09-19,78,SKU-001
2025-09-20,108,SKU-001
2025-09-21,84,SKU-001
2025-09-22,106,SKU-001
2025-09-23,89,SKU-001
2025-09-24,94,SKU-001
2025-09-25,92,SKU-001
2025-09-26,87,SKU-001
2025-09-27,96,SKU-001
2025-09-28,110,SKU-001
2025-09-29,88,SKU-001
2025-09-30,103,SKU-001
2025-10-01,78,SKU-001
2025-10-02,120,SKU-001
2025-10-03,92,SKU-001
2025-10-04,81,SKU-001
2025-10-05,97,SKU-001
2025-10-06,98,SKU-001
2025-10-07,117,SKU-001
2025-10-08,108,SKU-001
2025-10-09,100,SKU-001
2025-10-10,88,SKU-001
2025-10-11,88,SKU-001
2025-10-12,99,SKU-001
2025-10-13,94,SKU-001
2025-10-14,102,SKU-001
2025-10-15,98,SKU-001
2025-10-16,101,SKU-001
2025-10-17,107,SKU-001
2025-10-18,105,SKU-001
2025-10-19,110,SKU-001
2025-10-20,106,SKU-001
2025-10-21,112,SKU-001
2025-10-22,101,SKU-001
2025-10-23,99,SKU-001
2025-10-24,97,SKU-001
2025-10-25,94,SKU-001
2025-10-26,101,SKU-001
2025-10-27,99,SKU-001
2025-10-28,101,SKU-001
2025-10-29,132,SKU-001
2025-10-30,103,SKU-001
2025-10-31,93,SKU-001
2025-11-01,112,SKU-001
2025-11-02,104,SKU-001
2025-11-03,97,SKU-001
2025-11-04,111,SKU-001
2025-11-05,95,SKU-001
2025-11-06,105,SKU-001
2025-11-07,122,SKU-001
2025-11-08,109,SKU-001
2025-11-09,102,SKU-001
2025-11-10,123,SKU-001
2025-11-11,109,SKU-001
2025-11-12,105,SKU-001
2025-11-13,116,SKU-001
2025-11-14,104,SKU-001
2025-11-15,98,SKU-001
2025-11-16,105,SKU-001
2025-11-17,109,SKU-001
2025-11-18,117,SKU-001
2025-11-19,109,SKU-001
2025-11-20,134,SKU-001
2025-11-21,105,SKU-001
2025-11-22,108,SKU-001
2025-11-23,129,SKU-001
2025-11-24,93,SKU-001
2025-11-25,120,SKU-001
2025-11-26,122,SKU-001
2025-11-27,108,SKU-001
2025-11-28,118,SKU-001
2025-11-29,106,SKU-001
2025-11-30,112,SKU-001
2025-12-01,119,SKU-001
2025-12-02,114,SKU-001
2025-12-03,110,SKU-001
2025-12-04,109,SKU-001
2025-12-05,123,SKU-001
2025-12-06,131,SKU-001
2025-12-07,111,SKU-001
2025-12-08,112,SKU-001
2025-12-09,142,SKU-001
2025-12-10,138,SKU-001
2025-12-11,135,SKU-001
2025-12-12,124,SKU-001
2025-12-13,135,SKU-001
2025-12-14,117,SKU-001
2025-12-15,118,SKU-001
2025-12-16,135,SKU-001
2025-12-17,123,SKU-001
2025-12-18,135,SKU-001
2025-12-19,132,SKU-001
2025-12-20,133,SKU-001
2025-12-21,127,SKU-001
2025-12-22,124,SKU-001
2025-12-23,126,SKU-001
2025-12-24,123,SKU-001
2025-12-25,110,SKU-001
2025-12-26,126,SKU-001
2025-12-27,146,SKU-001
2025-12-28,126,SKU-001
2025-12-29,141,SKU-001
2025-12-30,135,SKU-001
2025-12-31,130,SKU-001
2026-01-01,132,SKU-001
2026-01-02,140,SKU-001
2026-01-03,126,SKU-001
2026-01-04,150,SKU-001
2026-01-05,136,SKU-001
2026-01-06,153,SKU-001
2026-01-07,137,SKU-001
2026-01-08,145,SKU-001
2026-01-09,138,SKU-001
2026-01-10,146,SKU-001
2026-01-11,156,SKU-001
2026-01-12,148,SKU-001
2026-01-13,158,SKU-001
2026-01-14,129,SKU-001
2026-01-15,162,SKU-001
2026-01-16,168,SKU-001
2026-01-17,134,SKU-001
2026-01-18,142,SKU-001
2026-01-19,149,SKU-001
2026-01-20,139,SKU-001
2026-01-21,144,SKU-001
2026-01-22,149,SKU-001
2026-01-23,164,SKU-001
2026-01-24,157,SKU-001
2026-01-25,150,SKU-001
2026-01-26,150,SKU-001
2026-01-27,140,SKU-001
2026-01-28,145,SKU-001
2026-01-29,167,SKU-001
2026-01-30,163,SKU-001
2026-01-31,143,SKU-001
2026-02-01,156,SKU-001
2026-02-02,161,SKU-001
2026-02-03,158,SKU-001
2026-02-04,164,SKU-001
2026-02-05,168,SKU-001
2026-02-06,185,SKU-001
2026-02-07,154,SKU-001
2026-02-08,179,SKU-001
2026-02-09,158,SKU-001
2026-02-10,181,SKU-001
2026-02-11,170,SKU-001
2026-02-12,164,SKU-001
2026-02-13,155,SKU-001
2026-02-14,177,SKU-001
2026-02-15,185,SKU-001
2026-02-16,162,SKU-001
2026-02-17,161,SKU-001
2026-02-18,175,SKU-001
2026-02-19,181,SKU-001
2026-02-20,176,SKU-001
2026-02-21,166,SKU-001
2026-02-22,173,SKU-001
2026-02-23,159,SKU-001
2026-02-24,147,SKU-001
2026-02-25,154,SKU-001
2026-02-26,165,SKU-001
2026-02-27,171,SKU-001
2026-02-28,159,SKU-001
2026-03-01,162,SKU-001
2026-03-02,180,SKU-001
2026-03-03,174,SKU-001
2026-03-04,176,SKU-001
2026-03-05,163,SKU-001
2026-03-06,184,SKU-001
2026-03-07,158,SKU-001
2026-03-08,181,SKU-001
2026-03-09,171,SKU-001
2026-03-10,173,SKU-001
2026-03-11,174,SKU-001
2026-03-12,175,SKU-001
2026-03-13,170,SKU-001
2026-03-14,186,SKU-001
2026-03-15,166,SKU-001
2026-03-16,186,SKU-001
2026-03-17,181,SKU-001
2026-03-18,176,SKU-001
2026-03-19,170,SKU-001
2026-03-20,172,SKU-001
2026-03-21,173,SKU-001
2026-03-22,173,SKU-001
2026-03-23,163,SKU-001
2026-03-24,177,SKU-001
2026-03-25,171,SKU-001
2026-03-26,176,SKU-001
2026-03-27,170,SKU-001
2026-03-28,192,SKU-001
2026-03-29,169,SKU-001
2026-03-30,172,SKU-001
2026-03-31,172,SKU-001
2026-04-01,172,SKU-001
2026-04-02,197,SKU-001
2026-04-03,180,SKU-001
2024-04-04,150,SKU-002
2024-04-05,143,SKU-002
2024-04-06,157,SKU-002
2024-04-07,145,SKU-002
2024-04-08,155,SKU-002
2024-04-09,155,SKU-002
2024-04-10,168,SKU-002
2024-04-11,148,SKU-002
2024-04-12,150,SKU-002
2024-04-13,153,SKU-002
2024-04-14,155,SKU-002
2024-04-15,135,SKU-002
2024-04-16,165,SKU-002
2024-04-17,155,SKU-002
2024-04-18,137,SKU-002
2024-04-19,136,SKU-002
2024-04-20,137,SKU-002
2024-04-21,142,SKU-002
2024-04-22,143,SKU-002
2024-04-23,126,SKU-002
2024-04-24,165,SKU-002
2024-04-25,139,SKU-002
2024-04-26,151,SKU-002
2024-04-27,138,SKU-002
2024-04-28,167,SKU-002
2024-04-29,145,SKU-002
2024-04-30,130,SKU-002
2024-05-01,159,SKU-002
2024-05-02,156,SKU-002
2024-05-03,138,SKU-002
2024-05-04,145,SKU-002
2024-05-05,148,SKU-002
2024-05-06,154,SKU-002
2024-05-07,146,SKU-002
2024-05-08,129,SKU-002
2024-05-09,135,SKU-002
2024-05-10,133,SKU-002
2024-05-11,134,SKU-002
2024-05-12,135,SKU-002
2024-05-13,155,SKU-002
2024-05-14,137,SKU-002
2024-05-15,128,SKU-002
2024-05-16,126,SKU-002
2024-05-17,139,SKU-002
2024-05-18,115,SKU-002
2024-05-19,127,SKU-002
2024-05-20,138,SKU-002
2024-05-21,136,SKU-002
2024-05-22,145,SKU-002
2024-05-23,128,SKU-002
2024-05-24,134,SKU-002
2024-05-25,133,SKU-002
2024-05-26,131,SKU-002
2024-05-27,147,SKU-002
2024-05-28,141,SKU-002
2024-05-29,145,SKU-002
2024-05-30,124,SKU-002
2024-05-31,127,SKU-002
2024-06-01,134,SKU-002
2024-06-02,131,SKU-002
2024-06-03,153,SKU-002
2024-06-04,133,SKU-002
2024-06-05,108,SKU-002
2024-06-06,120,SKU-002
2024-06-07,133,SKU-002
2024-06-08,115,SKU-002
2024-06-09,126,SKU-002
2024-06-10,118,SKU-002
2024-06-11,131,SKU-002
2024-06-12,135,SKU-002
2024-06-13,134,SKU-002
2024-06-14,107,SKU-002
2024-06-15,131,SKU-002
2024-06-16,138,SKU-002
2024-06-17,140,SKU-002
2024-06-18,140,SKU-002
2024-06-19,107,SKU-002
2024-06-20,111,SKU-002
2024-06-21,129,SKU-002
2024-06-22,128,SKU-002
2024-06-23,136,SKU-002
2024-06-24,129,SKU-002
2024-06-25,100,SKU-002
2024-06-26,118,SKU-002
2024-06-27,112,SKU-002
2024-06-28,115,SKU-002
2024-06-29,109,SKU-002
2024-06-30,118,SKU-002
2024-07-01,129,SKU-002
2024-07-02,118,SKU-002
2024-07-03,134,SKU-002
2024-07-04,116,SKU-002
2024-07-05,123,SKU-002
2024-07-06,108,SKU-002
2024-07-07,123,SKU-002
2024-07-08,112,SKU-002
2024-07-09,118,SKU-002
2024-07-10,118,SKU-002
2024-07-11,116,SKU-002
2024-07-12,95,SKU-002
2024-07-13,120,SKU-002
2024-07-14,110,SKU-002
2024-07-15,107,SKU-002
2024-07-16,125,SKU-002
2024-07-17,93,SKU-002
2024-07-18,105,SKU-002
2024-07-19,110,SKU-002
2024-07-20,99,SKU-002
2024-07-21,109,SKU-002
2024-07-22,108,SKU-002
2024-07-23,104,SKU-002
2024-07-24,104,SKU-002
2024-07-25,124,SKU-002
2024-07-26,99,SKU-002
2024-07-27,100,SKU-002
2024-07-28,91,SKU-002
2024-07-29,94,SKU-002
2024-07-30,105,SKU-002
2024-07-31,111,SKU-002
2024-08-01,80,SKU-002
2024-08-02,90,SKU-002
2024-08-03,110,SKU-002
2024-08-04,116,SKU-002
2024-08-05,112,SKU-002
2024-08-06,90,SKU-002
2024-08-07,92,SKU-002
2024-08-08,81,SKU-002
2024-08-09,103,SKU-002
2024-08-10,96,SKU-002
2024-08-11,95,SKU-002
2024-08-12,100,SKU-002
2024-08-13,106,SKU-002
2024-08-14,123,SKU-002
2024-08-15,89,SKU-002
2024-08-16,92,SKU-002
2024-08-17,83,SKU-002
2024-08-18,89,SKU-002
2024-08-19,84,SKU-002
2024-08-20,84,SKU-002
2024-08-21,85,SKU-002
2024-08-22,100,SKU-002
2024-08-23,94,SKU-002
2024-08-24,95,SKU-002
2024-08-25,85,SKU-002
2024-08-26,95,SKU-002
2024-08-27,101,SKU-002
2024-08-28,98,SKU-002
2024-08-29,86,SKU-002
2024-08-30,96,SKU-002
2024-08-31,98,SKU-002
2024-09-01,106,SKU-002
2024-09-02,90,SKU-002
2024-09-03,83,SKU-002
2024-09-04,104,SKU-002
2024-09-05,89,SKU-002
2024-09-06,111,SKU-002
2024-09-07,107,SKU-002
2024-09-08,92,SKU-002
2024-09-09,74,SKU-002
2024-09-10,76,SKU-002
2024-09-11,73,SKU-002
2024-09-12,87,SKU-002
2024-09-13,71,SKU-002
2024-09-14,86,SKU-002
2024-09-15,97,SKU-002
2024-09-16,86,SKU-002
2024-09-17,95,SKU-002
2024-09-18,91,SKU-002
2024-09-19,83,SKU-002
2024-09-20,102,SKU-002
2024-09-21,92,SKU-002
2024-09-22,86,SKU-002
2024-09-23,87,SKU-002
2024-09-24,89,SKU-002
2024-09-25,73,SKU-002
2024-09-26,73,SKU-002
2024-09-27,87,SKU-002
2024-09-28,89,SKU-002
2024-09-29,86,SKU-002
2024-09-30,76,SKU-002
2024-10-01,87,SKU-002
2024-10-02,103,SKU-002
2024-10-03,89,SKU-002
2024-10-04,89,SKU-002
2024-10-05,77,SKU-002
2024-10-06,80,SKU-002
2024-10-07,82,SKU-002
2024-10-08,94,SKU-002
2024-10-09,90,SKU-002
2024-10-10,76,SKU-002
2024-10-11,87,SKU-002
2024-10-12,90,SKU-002
2024-10-13,100,SKU-002
2024-10-14,90,SKU-002
2024-10-15,97,SKU-002
2024-10-16,88,SKU-002
2024-10-17,73,SKU-002
2024-10-18,92,SKU-002
2024-10-19,84,SKU-002
2024-10-20,83,SKU-002
2024-10-21,91,SKU-002
2024-10-22,88,SKU-002
